OBJECTID,NameInt,GlobalID,Seg_ID_Score,Seg_Bk_Score,Seg_LL_Score,Seg_Wd_Score,GridNormScore,CSScore,Pop2015,Ones,Twos,Threes,GridScrRounded
353,555,28ab4890-23a8-42d1-979f-c63be26cfb9e,0,13,0,1,22.95082,0.807692,3428.150301,53,14,0,1
354,418,d8f22d21-e026-4367-95d4-f46762b30ed3,0,10,0,0,16.393443,0.576923,1374.181428,12,10,0,1
355,151,403690ed-c4d1-4b4b-905f-1baae05eeeb2,0,0,0,0,0,0,36.257231,,,0,1
356,1458,b13f8c10-4295-48a9-9e15-622f9845f764,3,6,0,0,13.114754,0.461538,5204.423253,36,5,3,1
357,1963,4081579c-61c7-40e5-86ca-970b321c6e60,0,4,6,8,18.032787,0.634615,2538.689293,8,11,0,1
358,421,a527692d-8ee6-4b4c-a99f-c1975f3e8cda,2,7,4,4,18.032787,0.634615,3036.263405,24,9,2,1
359,1521,f2361764-823a-4a41-8432-7c345a788588,3,18,11,2,31.147541,1.096154,4586.24668,4,16,3,3
360,2199,31dd0b4a-fd13-4fe4-8ca7-4287d4c6b52a,0,0,0,0,0,0,0,,,0,1
361,1459,d76beb4b-8ad1-403a-806f-a5bc2261a989,1,2,0,1,4.918033,0.173077,1279.008581,22,2,1,1
362,557,1b8fa3cd-29b0-4856-94e2-17b1d6d2186f,2,20,5,3,42.622951,1.5,4209.989476,62,24,2,3
363,1186,40422edc-6f90-46eb-a579-9ff99bd8c0d3,0,0,0,0,0,0,78.654107,,,0,1
364,1522,d5c6573e-6df2-4cb5-a93f-79cd3a28a8cd,0,19,10,0,32.786885,1.153846,4589.95268,14,20,0,3
365,422,bd9731e9-bb11-4f49-a535-737daa1317cd,1,13,0,12,32.786885,1.153846,6377.298241,8,19,1,2
366,1523,160531e5-ae1f-44e0-bf4f-43f10170b70c,1,11,2,0,21.311475,0.75,4506.84055,31,12,1,1
367,423,4c391b61-c675-46cc-9060-10f7605d9b30,1,11,5,11,27.868852,0.980769,2604.017632,14,16,1,1
368,145,1d891692-ef21-4cff-a874-5bc1a27ff16e,0,0,1,0,1.639344,0.057692,204.43971,4,1,0,1
369,219,fadf9bef-5448-4c76-87c5-1643cbc8fe6c,1,5,5,0,16.393443,0.576923,3245.100955,26,9,1,1
370,1964,640b7508-d3bb-441d-9d35-68fc18a30fad,0,5,7,7,16.393443,0.576923,3208.553636,2,10,0,1
371,424,76ce4c5e-eab6-41d6-88c7-104ada3045ab,0,7,5,13,26.229508,0.923077,3954.845997,26,16,0,1
372,1462,336fa390-d279-45d3-9cf1-b0e614b241f5,0,0,0,1,1.639344,0.057692,1.536408,7,1,0,1
373,558,64482a07-f802-4976-aef0-2a4f06bc43ad,2,22,33,1,63.934426,2.25,2994.387564,27,37,2,3
374,1524,e0f57684-3bc3-4512-b294-30331506aecb,0,0,4,0,6.557377,0.230769,163.468306,5,4,0,1
375,1966,bde822e8-3931-48fd-a4a9-e7c726e91579,0,10,10,5,21.311475,0.75,6268.475625,3,13,0,1
376,221,c3db8bcb-14a5-4301-9479-4443b46c4ffc,1,5,9,1,18.032787,0.634615,4797.210481,5,10,1,1
377,1189,35c6f527-287a-4a58-9098-62dae2aa558f,0,2,0,0,3.278689,0.115385,1370.807631,14,2,0,1
378,1463,941e93d7-954f-4f30-95b9-fed30dbce71f,0,1,1,0,3.278689,0.115385,77.634574,15,2,0,1
379,426,9989e684-d67a-42ca-909c-3992a4167899,1,6,0,0,9.836066,0.346154,3655.946419,14,5,1,1
380,231,a1486336-1f1e-441a-825f-019d6276e895,2,16,2,3,27.868852,0.980769,4950.484601,17,15,2,3
381,1525,2c149cd8-df58-4e9e-a478-b60026092dfc,0,11,1,0,18.032787,0.634615,5253.250922,32,11,0,1
382,1967,c2fe5163-9546-4f70-bbe8-6ad7507d3353,4,10,2,2,22.95082,0.807692,7841.415427,49,10,4,1
383,427,7dcc6665-885f-450c-b65c-bbc8e8172b38,4,9,1,0,19.672131,0.692308,4598.218546,46,8,4,1
384,233,1e6d85bf-949c-4c48-b262-b614309989a5,0,3,3,1,8.196721,0.288462,5964.102347,13,5,0,1
385,1464,f6b1fba5-fd40-4dc3-8df8-6a7146d9b307,0,0,1,0,1.639344,0.057692,2.661238,39,1,0,1
386,1526,066c46c9-e9ec-426e-8ed1-1698e3408c21,0,11,3,1,19.672131,0.692308,8083.894805,19,12,0,1
387,1969,85286817-49ea-4f0a-a255-3f19f1f46677,5,9,3,1,26.229508,0.923077,3987.295224,31,11,5,3
388,428,e0c1ee86-0ae9-4c90-8d6b-a3c3c3f63a2b,3,5,1,0,11.47541,0.403846,2378.190929,20,4,3,1
389,235,426e11fa-2fac-4f80-ba40-07c811d8d7d6,1,10,1,0,18.032787,0.634615,6451.517547,17,10,1,1
390,1465,0420b5d3-e969-4e43-ba16-3489887f9a8e,1,4,1,0,6.557377,0.230769,3261.237651,75,3,1,1
391,559,ed1bc088-f3a2-46a0-8f45-c68f52fa8c3a,0,0,0,0,0,0,1254.867771,,,0,1
392,429,d20d8f13-641c-4b6f-823c-7ef885232a94,1,12,0,1,21.311475,0.75,6384.52388,26,12,1,1
393,1971,3a7695fd-c626-42ab-ac4e-05856b36f824,0,1,4,1,6.557377,0.230769,3801.745872,0,4,0,1
394,1527,ae9346e0-cfbf-4ba8-b39e-b2043a576d8f,0,7,0,0,11.47541,0.403846,4280.142086,24,7,0,1
395,236,89940ba1-d695-4990-a28e-1e32906db473,4,11,7,1,27.868852,0.980769,7324.008265,16,13,4,1
396,118,9a8f39b9-a7e2-483d-9b89-ce04bad7a09a,0,5,1,0,9.836066,0.346154,1786.033137,22,6,0,1
397,1466,f8c6c512-1e36-4299-a1da-10a09215d441,0,1,1,2,4.918033,0.173077,3636.160117,39,3,0,1
398,1529,0a7a7504-18ea-4641-ad95-63e140555501,2,4,1,1,8.196721,0.288462,4542.261814,31,3,2,1
399,1467,bdaaad23-ed04-4014-a6a5-01f459b5cdaf,0,2,1,1,6.557377,0.230769,2210.912763,28,4,0,1
400,437,7eca89a4-4a8e-4411-bd6d-9c0b6fa43d0f,3,9,3,0,19.672131,0.692308,3902.356594,37,9,3,1
401,237,3ae2e01e-f556-4a54-98f5-67f8f99b06c9,6,9,2,0,26.229508,0.923077,9029.291759,40,10,6,3
402,1972,44896926-15b5-4786-b78b-31b911995b12,0,7,8,4,18.032787,0.634615,4174.158485,4,11,0,1
403,561,c130665e-c0ca-4af2-8753-879096c60a08,0,2,0,0,3.278689,0.115385,1403.148261,36,2,0,1
404,1195,6f3a552b-813f-423c-86ba-c0881c005349,0,0,0,0,0,0,138.170817,,,0,1
405,1974,0c332c24-bbf5-4da4-8194-d7735ffa0ab7,0,5,0,0,8.196721,0.288462,6819.557855,3,5,0,1
406,438,d2db99ce-e0ed-4bdb-b25b-778d0e30a4f3,11,12,6,0,39.344262,1.384615,5408.307026,64,13,11,3
407,152,fd7d0942-7e2c-4402-8dde-44f076064573,0,0,5,0,8.196721,0.288462,95.024547,8,5,0,1
408,1468,710cc2d4-639c-4b85-9a6f-d78297396cdf,0,1,0,0,1.639344,0.057692,2300.692406,2,1,0,1
409,238,02c351f0-95ce-4574-bc8d-e7f3468766fe,3,4,1,0,13.114754,0.461538,3821.660705,30,5,3,1
410,1975,3bd72e2e-8fad-413b-b54f-9c3f0f5bd650,1,1,1,0,3.278689,0.115385,734.657318,11,1,1,1
